,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2015
Smiths Falls,0.01,0.02,2.00,,,2.83,,4.00,159.24,96.53,6.88,64.02,244.00,35.87,65.60,60.53,64.39,97.47,123.20
Old Slys,0.00,0.00,0.47,0.67,0.13,27.00,23.87,2.32,123.77,50.57,2.15,5.16,42.00,2.00,2.91,0.40,9.36,37.33,23.60
Edmonds,0.00,0.00,0.80,3.91,7.62,14.93,53.60,13.47,78.95,90.24,4.72,4.22,76.00,8.53,9.90,9.40,4.30,31.10,9.20
Merrickville,0.00,0.02,1.54,2.30,2.13,7.58,21.42,4.49,41.28,35.00,382.64,43.45,864.00,60.13,571.94,83.47,10.67,288.33,1814.00
Upper Nicholsons,0.00,0.00,6.00,13.33,8.73,8.20,165.70,9.00,225.71,108.00,413.20,124.88,6205.00,59.33,778.40,66.08,18.64,564.07,1791.00
Burritts Rapids,0.01,0.00,28.00,19.33,50.84,95.47,94.53,263.73,1046.00,711.00,22308.00,569.62,6202.00,1381.00,168.67,420.00,156.13,851.10,2960.00
Kars,0.90,485.89,44702.00,47310.00,139829.00,74993.00,58157.00,62564.00,64027.00,105253.00,,,,,76160.00,,,,24800.00
Long Island,0.07,23000.00,383100.00,305150.00,442400.00,164427.00,71800.00,229493.00,42840.00,254145.00,,,,,53013.00,,,,2969.00
Black Rapids,0.30,156.00,168914.00,15886.00,70278.00,37500.00,59050.00,3800.00,58273.00,88587.00,,,,,46333.00,,,,28160.00
Mooney's Bay,2.00,1244.00,296374.00,20314.00,93345.00,134630.00,126860.00,745.45,109013.00,157440.00,,,,,156510.00,,,,25409.00
Hogs Back,3.75,1952.00,460960.00,125090.00,217080.00,164600.00,412800.00,12257.00,279447.00,396827.00,,,,,235227.00,,,,9600.00
Hartwells,23.40,3518.00,159120.00,64500.00,213909.00,168420.00,187440.00,78080.00,268640.00,583067.00,,,,,148160.00,,,,52400.00
Ottawa,0.02,6.70,141.22,3234.00,6370.00,915.00,9675.00,990.21,63510.00,4621.00,,,,,34160.00,,,,6764.00
